knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K08791	741.67	full	all	0.992896	1159	1126	7090	1124	1.83	0.590	serine/threonine-protein kinase LATS1/2 [EC:2.7.11.1]
K08793	363.90	domain	all	0.980930	1536	1437	4350	540	2.48	0.590	serine/threonine kinase 32 [EC:2.7.11.1]
K08794	487.30	domain	all	0.823274	2441	2231	5633	514	4.21	0.590	calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]
K08795	624.23	full	all	0.946712	251	217	1103	421	1.31	0.589	pregnancy upregulated non-ubiquitously expressed CaM kinase [EC:2.7.11.17]
K08796	510.13	full	all	0.981877	1374	1261	8016	863	2.49	0.590	BR serine/threonine kinase [EC:2.7.11.1]
K08797	433.97	domain	all	0.988986	661	644	4360	814	2.65	0.590	hormonally upregulated Neu-associated kinase [EC:2.7.11.1]
K08798	585.17	full	all	0.948924	2491	2345	10957	746	3.03	0.590	MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]
K08799	527.40	full	all	0.976584	663	652	3784	713	1.98	0.591	maternal embryonic leucine zipper kinase [EC:2.7.11.1]
K08800	479.80	full	trim	0.992334	1074	1047	3194	634	1.87	0.590	NUAK family, SNF1-like kinase [EC:2.7.11.1]
K08801	732.77	full	all	1.000000	519	519	6087	1331	2.59	0.590	PAS domain containing serine/threonine kinase [EC:2.7.11.1]
K08802	475.90	domain	all	0.983802	1045	1003	5876	759	2.11	0.590	SNF related kinase [EC:2.7.11.1]
K08803	402.83	domain	all	0.964571	1862	1733	6469	685	4.33	0.590	death-associated protein kinase [EC:2.7.11.1]
K08804	430.13	domain	all	0.978599	1223	1139	3709	623	3.46	0.590	serine/threonine kinase 17 [EC:2.7.11.1]
K08805	712.13	full	all	0.949340	1431	1301	6994	792	2.00	0.590	doublecortin-like kinase 1/2 [EC:2.7.11.1]
K08806	476.80	full	all	0.856347	347	283	1009	368	2.18	0.590	proto-oncogene serine/threonine-protein kinase Pim-2 [EC:2.7.11.1]
K08807	600.07	full	all	0.827220	553	461	1553	447	2.04	0.591	proto-oncogene serine/threonine-protein kinase Pim-3 [EC:2.7.11.1]
K08808	421.70	domain	all	0.983879	768	693	2657	498	2.34	0.590	protein serine kinase H [EC:2.7.11.1]
K08809	1019.17	domain	trim	0.998133	538	511	8763	3434	1.14	0.590	striated muscle-specific serine/threonine protein kinase [EC:2.7.11.1]
K08810	4979.20	full	all	0.970037	559	550	6664	3021	0.93	0.590	triple functional domain protein [EC:2.7.11.1]
K08811	349.47	domain	all	0.953750	2449	2174	4041	506	6.99	0.590	testis-specific serine kinase [EC:2.7.11.1]
K08812	454.37	full	all	0.995356	690	646	2070	537	1.17	0.589	CaM kinase-like vesicle-associated [EC:2.7.11.-]
K08813	374.60	domain	all	0.981154	441	433	1972	522	2.55	0.590	serine/threonine kinase 33 [EC:2.7.11.1]
K08814	503.00	full	all	0.835608	1184	913	2238	512	3.01	0.590	tribbles homolog 1/2
K08815	357.83	full	all	0.991260	1277	1270	10081	1232	3.19	0.590	tau tubulin kinase [EC:2.7.11.26]
K08816	385.00	full	all	0.965746	1725	1688	5331	532	4.12	0.590	vaccinia related kinase [EC:2.7.11.1]
K08817	408.00	domain	all	0.903356	642	591	2536	412	1.84	0.591	cell cycle related kinase [EC:2.7.11.22]
K08818	542.23	domain	all	0.824774	1750	1658	8456	612	3.46	0.590	cell division cycle 2-like [EC:2.7.11.22]
K08819	508.57	domain	all	0.966016	2694	2588	10030	683	2.84	0.590	cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23]
K08820	960.60	full	trim	0.898537	350	320	1999	622	1.12	0.589	cyclin-dependent kinase 16 [EC:2.7.11.22]
K08821	633.07	full	all	0.946115	709	617	3761	607	2.06	0.590	cyclin-dependent kinase 14 [EC:2.7.11.22]
K08822	825.00	full	all	0.972965	491	380	1642	497	1.06	0.589	glycogen synthase kinase 3 alpha [EC:2.7.11.26]
K08823	707.27	full	all	0.917980	1157	1004	8231	621	2.06	0.590	dual specificity protein kinase CLK2/3 [EC:2.7.12.1]
K08824	368.53	domain	all	0.982840	2469	2372	7799	583	3.47	0.590	cyclin-dependent kinase-like [EC:2.7.11.22]
K08825	505.30	domain	all	0.982948	1213	1014	6423	664	2.12	0.590	dual specificity tyrosine-phosphorylation-regulated kinase 1 [EC:2.7.12.1]
K08826	507.30	full	all	0.980163	2194	2143	12175	997	2.78	0.590	homeodomain interacting protein kinase [EC:2.7.11.1]
K08827	365.27	domain	all	0.991493	1296	1240	7965	861	3.22	0.590	serine/threonine-protein kinase PRP4 [EC:2.7.11.1]
K08828	855.63	domain	all	0.840091	523	498	2448	618	1.64	0.591	intestinal cell (MAK-like) kinase [EC:2.7.11.22]
K08829	406.27	full	all	0.635952	1441	1396	4173	527	2.64	0.590	male germ cell-associated kinase [EC:2.7.11.22]
K08830	372.70	domain	all	0.972763	593	585	3087	552	3.04	0.590	renal tumor antigen [EC:2.7.11.22]
K08831	1081.70	full	all	0.927956	482	469	5343	808	1.31	0.590	serine/threonine-protein kinase SRPK2 [EC:2.7.11.1]
K08832	279.60	full	all	0.471298	2101	2053	9882	595	5.16	0.590	serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]
K08833	1387.47	full	trim	0.763698	837	800	5471	917	1.29	0.590	mitogen-activated protein kinase kinase kinase kinase 5 [EC:2.7.11.1]
K08834	993.50	full	all	0.975236	1257	1251	12075	1539	2.70	0.590	myosin III [EC:2.7.11.1]
K08835	426.17	domain	all	0.963932	2165	2040	7248	778	5.22	0.590	serine/threonine-protein kinase OSR1/STK39 [EC:2.7.11.1]
K08836	773.53	domain	all	0.953372	858	853	9404	1779	3.38	0.590	STE20-like kinase [EC:2.7.11.1]
K08837	1451.43	full	all	0.951119	455	451	3512	1073	1.80	0.590	serine/threonine kinase 10 [EC:2.7.11.1]
K08838	477.53	full	all	0.955175	2445	2094	7321	503	3.23	0.590	serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]
K08840	1735.13	full	all	0.865602	813	783	7634	1188	1.53	0.590	TRAF2 and NCK interacting kinase [EC:2.7.11.1]
K08841	774.67	full	all	0.939573	571	553	3343	804	2.86	0.590	testis-specific kinase 1 [EC:2.7.12.1]
K08842	704.77	domain	trim	0.843364	561	548	4056	649	2.58	0.590	testis-specific kinase 2 [EC:2.7.12.1]
K08843	1324.47	full	all	0.998921	464	463	6067	2084	2.13	0.590	leucine-rich repeat kinase 1 [EC:2.7.11.1]
K08844	1264.23	full	trim	0.982411	493	492	10519	2635	3.83	0.590	leucine-rich repeat kinase 2 [EC:2.7.11.1]
K08845	1012.90	full	all	0.970066	348	310	1646	705	1.26	0.592	A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]
K08846	359.77	domain	all	0.987815	593	578	2788	810	3.81	0.590	receptor-interacting serine/threonine-protein kinase 2 [EC:2.7.11.1]
K08847	378.23	domain	trim	0.966788	449	445	3267	604	4.26	0.590	receptor-interacting serine/threonine-protein kinase 3 [EC:2.7.11.1]
K08848	680.17	domain	all	0.997685	445	433	2329	920	1.03	0.590	receptor-interacting serine/threonine-protein kinase 4 [EC:2.7.11.1]
K08849	190.53	domain	all	0.991804	433	425	1815	603	3.11	0.590	mixed lineage kinase domain-like [EC:2.7.11.1]
K08850	538.37	domain	all	0.601156	821	762	2786	833	4.30	0.590	aurora kinase, other [EC:2.7.11.1]
K08851	231.97	full	all	0.914437	1399	1319	2277	410	5.13	0.590	TP53 regulating kinase and related kinases [EC:2.7.11.1]
K08852	207.10	domain	all	0.849062	1599	1576	11210	775	5.49	0.590	serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]
K08853	810.13	full	trim	0.673173	1272	1256	10282	874	4.51	0.590	AP2-associated kinase [EC:2.7.11.1]
K08854	1033.37	full	all	0.980604	450	448	4096	1292	1.50	0.589	BMP2 inducible kinase [EC:2.7.11.1]
K08855	1050.80	full	all	0.981035	707	699	5358	1288	2.45	0.590	cyclin G-associated kinase [EC:2.7.11.1]
K08856	271.03	domain	all	0.973592	1179	1098	2650	384	3.13	0.590	serine/threonine kinase 16 [EC:2.7.11.1]
K08857	504.27	full	all	0.947380	2630	2572	15728	812	5.34	0.590	serine/threonine-protein kinase Nek1/4/5 [EC:2.7.11.1]
K08858	228.00	domain	all	0.993137	2147	2051	4756	440	3.52	0.590	serine/threonine-protein kinase SBK [EC:2.7.11.1]
K08859	634.03	full	all	0.946514	548	503	1770	531	2.40	0.590	serine/threonine kinase 35 [EC:2.7.11.1]
K08860	491.93	domain	all	0.969259	624	618	5504	1057	3.43	0.590	eukaryotic translation initiation factor 2-alpha kinase 3 [EC:2.7.11.1]
K08861	927.00	full	all	0.905389	617	573	2901	872	1.76	0.589	polo-like kinase 2 [EC:2.7.11.21]
K08862	994.57	full	all	0.971292	451	430	2586	806	1.46	0.589	polo-like kinase 3 [EC:2.7.11.21]
K08863	410.27	domain	all	0.985516	710	701	5179	1433	4.37	0.590	polo-like kinase 4 [EC:2.7.11.21]
K08864	223.97	domain	all	0.997603	1707	1464	6248	774	2.16	0.590	tousled-like kinase [EC:2.7.11.1]
K08865	206.90	domain	all	0.998435	667	641	2225	500	2.73	0.590	PDZ-binding kinase [EC:2.7.12.2]
K08866	227.87	domain	all	0.987213	1118	1103	6837	728	5.04	0.590	serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1]
K08867	252.93	full	all	0.990039	4511	4402	36059	1069	4.66	0.590	WNK lysine deficient protein kinase [EC:2.7.11.1]
K08868	116.97	domain	all	0.990486	1380	1377	16399	1610	7.85	0.590	alpha-kinase
K08869	324.43	full	all	0.801682	6671	6478	21420	652	9.88	0.590	aarF domain-containing kinase
K08870	108.13	full	all	0.953142	1436	1315	2590	503	4.82	0.590	twinfilin
K08871	1201.40	domain	trim	0.862477	614	578	5248	1103	2.30	0.590	bromodomain-containing protein 2
K08872	426.23	domain	all	0.983105	671	633	2163	622	2.55	0.590	RIO kinase 3 [EC:2.7.11.1]
K08873	698.17	full	all	0.997675	872	863	13634	3684	5.72	0.590	serine/threonine-protein kinase SMG1 [EC:2.7.11.1]
K08874	530.33	full	all	0.999142	1183	1163	26470	4181	5.72	0.590	transformation/transcription domain-associated protein
K08875	363.90	full	all	0.999554	1282	1121	5615	712	2.03	0.589	nuclear receptor-binding protein
K08876	315.03	full	all	0.998665	1156	1127	5891	870	4.47	0.590	SCY1-like protein 1
K08877	190.97	domain	all	0.975908	450	325	1831	465	1.98	0.590	serine/threonine-protein kinase Kist [EC:2.7.11.1]
K08878	1527.93	full	all	0.869493	714	705	4659	1176	2.24	0.590	breakpoint cluster region protein [EC:2.7.11.1]
K08879	175.57	full	all	0.992772	426	350	615	228	1.61	0.591	heat shock protein beta-8
K08880	62.57	full	all	0.995066	642	605	2092	389	5.94	0.590	serine/threonine kinase 19 [EC:2.7.11.1]
K08881	1099.30	full	trim	0.930037	531	509	4989	982	3.61	0.590	tripartite motif-containing protein 24 [EC:2.3.2.27]
K08882	621.67	full	all	0.953369	270	247	4302	946	2.91	0.590	tripartite motif-containing protein 28 [EC:2.3.2.27]
K08883	1023.93	full	all	0.842121	639	613	6194	1088	3.74	0.590	tripartite motif-containing protein 33 [EC:2.3.2.27]
K08884	368.97	domain	all	0.190536	2918	2565	9607	461	14.50	0.590	serine/threonine protein kinase, bacterial [EC:2.7.11.1]
K08885	800.00	domain	trim	0.965786	334	327	1936	763	1.28	0.590	non-receptor tyrosine-protein kinase TNK1 [EC:2.7.10.2]
K08886	1080.00	full	all	0.858993	815	810	8694	1615	4.03	0.590	activated CDC42 kinase 1 [EC:2.7.10.2 2.7.11.1]
K08887	1614.67	full	all	0.992974	438	431	2683	1281	1.28	0.589	abelson tyrosine-protein kinase 2 [EC:2.7.10.2]
K08888	664.37	full	all	0.964332	411	386	2378	587	1.95	0.590	megakaryocyte-associated tyrosine kinase [EC:2.7.10.2]
K08889	1058.27	full	all	0.893478	738	687	4437	973	3.91	0.590	tyrosine-protein kinase Fer [EC:2.7.10.2]
K08890	841.63	domain	all	0.862965	416	399	1681	587	1.42	0.591	B lymphoid tyrosine kinase [EC:2.7.10.2]
K08891	955.77	domain	trim	0.918023	179	161	862	523	0.93	0.590	tyrosine-protein kinase Fgr [EC:2.7.10.2]
K08892	745.33	domain	all	0.858912	859	825	3941	559	2.09	0.590	fyn-related kinase [EC:2.7.10.2]
K08893	937.63	domain	all	0.926659	439	410	1213	540	1.17	0.590	hemopoietic cell kinase [EC:2.7.10.2]
K08894	603.87	domain	all	0.953712	359	351	2706	543	2.36	0.590	protein tyrosine kinase 6 [EC:2.7.10.2]
K08895	611.67	domain	all	0.964732	424	410	1762	535	1.65	0.589	tyrosine-protein kinase Srms [EC:2.7.10.2]
K08896	929.33	full	all	0.951782	261	248	1240	648	1.06	0.591	cytoplasmic tyrosine-protein kinase BMX [EC:2.7.10.2]
K08897	1657.73	full	all	0.910078	386	382	2719	1090	0.89	0.591	Eph receptor A10 [EC:2.7.10.1]
K08898	874.00	full	all	0.941202	509	507	6781	1610	3.98	0.590	lemur tyrosine kinase 2 [EC:2.7.10.1]
K08899	1069.40	full	all	0.946544	213	209	6879	1632	3.59	0.590	lemur tyrosine kinase 3 [EC:2.7.10.1]
K08900	155.53	domain	all	0.995550	1420	1343	4535	612	5.36	0.590	mitochondrial chaperone BCS1
K08901	27.07	domain	trim	0.980598	731	658	1039	264	6.51	0.590	photosystem II oxygen-evolving enhancer protein 3
K08902	59.63	full	all	0.998639	419	368	528	161	2.64	0.590	photosystem II Psb27 protein
K08903	108.63	full	all	0.996016	424	382	592	227	1.79	0.590	photosystem II 13kDa protein
K08904	113.03	full	all	0.992908	90	73	184	123	0.95	0.589	photosystem II Psb28-2 protein
K08905	116.57	full	all	1.000000	232	206	477	239	1.57	0.590	photosystem I subunit V
K08906	71.07	domain	all	0.930017	735	683	914	203	8.69	0.590	cytochrome c6
K08907	201.87	domain	all	0.899109	291	252	654	282	3.62	0.590	light-harvesting complex I chlorophyll a/b binding protein 1
K08908	316.07	domain	trim	0.974902	429	389	687	310	1.56	0.590	light-harvesting complex I chlorophyll a/b binding protein 2
K08909	297.33	domain	all	0.983415	247	218	533	267	1.38	0.590	light-harvesting complex I chlorophyll a/b binding protein 3
K08910	338.70	full	all	0.948838	268	237	552	265	1.36	0.590	light-harvesting complex I chlorophyll a/b binding protein 4
K08911	300.20	domain	trim	0.942873	194	182	621	336	1.61	0.590	light-harvesting complex I chlorophyll a/b binding protein 5
K08912	650.77	full	all	0.959764	1122	916	4034	646	1.60	0.590	light-harvesting complex II chlorophyll a/b binding protein 1
K08913	487.90	domain	all	0.875245	302	246	488	263	0.87	0.589	light-harvesting complex II chlorophyll a/b binding protein 2
K08914	467.00	domain	all	0.985816	254	216	466	269	0.91	0.589	light-harvesting complex II chlorophyll a/b binding protein 3
K08915	174.90	domain	all	0.994992	342	299	668	331	1.47	0.590	light-harvesting complex II chlorophyll a/b binding protein 4
K08916	286.67	domain	trim	0.974552	257	218	665	392	1.76	0.590	light-harvesting complex II chlorophyll a/b binding protein 5
K08917	283.93	full	all	0.993548	266	236	588	255	0.96	0.588	light-harvesting complex II chlorophyll a/b binding protein 6
K08918	710.67	full	all	0.800000	16	13	369	352	0.48	0.590	chlorophyll a/b binding light-harvesting protein PcbA
K08919	699.70	full	all	0.833333	5	3	356	349	0.41	0.588	chlorophyll a/b binding light-harvesting protein PcbB
K08920	761.57	full	all	1.000000	5	5	352	352	0.41	0.597	chlorophyll a/b binding light-harvesting protein PcbC
K08921	647.53	full	all	0.793651	13	12	387	350	0.53	0.591	chlorophyll a/b binding light-harvesting protein PcbD
K08922	793.77	full	all	1.000000	5	4	366	361	0.39	0.592	chlorophyll a/b binding light-harvesting protein PcbE
K08923	689.13	full	all	0.833333	5	3	358	354	0.42	0.587	chlorophyll a/b binding light-harvesting protein PcbF
K08924	-	-	-	-	1	1	353	353	0.37	0.585	chlorophyll a/b binding light-harvesting protein PcbG
K08925	738.10	full	all	1.000000	5	3	352	352	0.39	0.590	chlorophyll a/b binding light-harvesting protein PcbH
K08926	47.60	full	trim	0.970886	269	221	137	70	3.94	0.804	light-harvesting complex 1 alpha chain
K08927	57.00	full	all	0.971623	326	270	166	85	3.40	0.669	light-harvesting complex 1 beta chain
K08928	352.20	full	all	1.000000	212	189	369	275	0.63	0.590	photosynthetic reaction center L subunit
K08929	374.53	full	all	1.000000	208	193	491	325	0.76	0.588	photosynthetic reaction center M subunit
K08930	53.00	full	all	0.957115	101	89	295	165	2.09	0.590	light-harvesting protein B-800-850 alpha chain
K08939	80.13	full	all	1.000000	88	63	90	51	1.50	1.086	light-harvesting protein B-800-850 beta chain
K08940	774.33	full	all	1.000000	21	21	1050	729	0.65	0.589	photosystem P840 reaction center large subunit
K08941	168.00	full	all	1.000000	18	18	343	225	0.79	0.592	photosystem P840 reaction center iron-sulfur protein
K08942	229.23	full	all	1.000000	17	17	414	211	0.75	0.590	photosystem P840 reaction center cytochrome c551
K08943	189.03	full	all	1.000000	17	17	179	127	0.59	0.589	photosystem P840 reaction center protein PscD
K08944	417.10	full	all	1.000000	21	21	403	367	0.72	0.591	bacteriochlorophyll A protein
K08945	161.67	full	all	0.962963	17	14	85	81	0.62	0.700	chlorosome envelope protein A
K08946	89.03	full	all	0.977778	22	22	118	75	1.81	0.753	chlorosome envelope protein B
K08947	197.13	full	all	1.000000	16	16	154	139	0.62	0.591	chlorosome envelope protein C
K08948	104.03	full	all	0.888889	5	5	169	114	0.98	0.590	chlorosome envelope protein D
K08949	140.13	full	all	1.000000	15	14	87	84	0.61	0.677	chlorosome envelope protein E
K08950	81.87	full	all	1.000000	12	12	127	74	1.21	0.762	chlorosome envelope protein F
K08951	202.20	full	all	1.000000	10	10	384	269	1.25	0.588	chlorosome envelope protein H
K08952	268.60	full	all	0.925926	15	15	406	336	1.32	0.590	chlorosome envelope protein I
K08953	338.53	full	all	1.000000	10	10	230	224	0.62	0.590	chlorosome envelope protein J
K08954	262.93	full	all	1.000000	11	11	310	211	0.74	0.592	chlorosome envelope protein X
K08955	794.17	full	all	0.937742	1772	1698	8549	719	1.93	0.590	ATP-dependent metalloprotease [EC:3.4.24.-]
K08956	963.53	full	all	0.911719	2063	1995	7607	1004	2.73	0.590	AFG3 family protein [EC:3.4.24.-]
K08957	583.83	domain	all	0.845447	1126	761	1594	399	1.99	0.590	casein kinase 1, alpha [EC:2.7.11.1]
K08958	548.57	full	all	0.978942	1660	1356	3927	515	1.63	0.590	casein kinase 1, gamma [EC:2.7.11.1]
K08959	867.43	full	all	0.795934	674	493	2104	569	2.43	0.590	casein kinase 1, delta [EC:2.7.11.1]
K08960	689.93	full	all	0.528870	1645	1403	3574	464	2.04	0.590	casein kinase 1, epsilon [EC:2.7.11.1]
K08961	418.93	full	all	0.989899	222	197	3989	1247	4.67	0.590	chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]
K08963	272.90	full	all	0.980363	4530	4143	3185	506	4.58	0.590	methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K08964	144.47	domain	all	0.826077	2376	2058	2127	415	5.31	0.590	methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
K08965	375.87	full	all	0.995489	392	334	580	403	1.37	0.589	2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]
K08966	133.67	full	all	0.997163	806	707	793	246	4.08	0.590	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]
K08967	37.83	domain	all	0.975119	3177	2773	2867	327	7.67	0.590	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]
K08968	92.27	domain	all	0.975823	4403	3563	1187	291	13.03	0.590	L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
K08969	541.63	full	trim	0.875104	830	668	586	391	1.26	0.591	L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]
K08970	48.23	full	all	0.985244	2538	2196	4485	393	10.74	0.590	nickel/cobalt transporter (NicO) family protein
K08971	194.43	full	all	1.000000	292	277	804	406	2.50	0.590	putative membrane protein
K08972	34.80	full	trim	0.996998	3794	3165	932	218	9.97	0.590	putative membrane protein
K08973	45.37	full	all	0.998182	3867	3304	660	228	8.44	0.590	protoporphyrinogen IX oxidase [EC:1.3.99.-]
K08974	134.77	full	all	1.000000	2199	1905	2037	390	5.01	0.590	putative membrane protein
K08975	214.97	full	all	1.000000	494	445	973	428	3.95	0.590	putative membrane protein
K08976	33.93	full	trim	0.980132	1602	1336	656	253	6.65	0.590	putative membrane protein
K08977	125.80	full	all	1.000000	131	119	513	279	1.19	0.591	bisanhydrobacterioruberin hydratase [EC:4.2.1.161]
K08978	78.57	domain	all	0.927478	1759	1493	1403	376	13.41	0.590	bacterial/archaeal transporter family protein
K08979	134.30	full	all	1.000000	280	253	1308	589	6.47	0.590	putative membrane protein
K08980	94.90	full	all	1.000000	138	105	322	192	2.42	0.590	putative membrane protein
K08981	121.87	full	all	0.979277	2689	2437	5107	525	12.58	0.590	putative membrane protein
K08982	32.07	domain	all	0.994566	1966	1756	938	150	21.50	0.590	putative membrane protein
K08983	52.13	full	all	0.999134	680	578	468	214	3.89	0.590	putative membrane protein
K08984	65.93	full	all	0.999130	1323	1151	671	263	3.58	0.590	putative membrane protein
K08985	82.50	domain	all	0.995230	365	317	786	507	4.35	0.590	putative lipoprotein
K08986	64.20	domain	all	0.996396	742	553	1056	296	6.50	0.590	putative membrane protein
K08987	26.90	full	all	0.997907	2300	1909	620	304	4.71	0.590	putative membrane protein
K08988	115.47	full	all	0.997935	819	725	466	217	3.63	0.590	putative membrane protein
K08989	38.20	full	all	0.999641	1833	1394	269	137	4.57	0.590	putative membrane protein
K08990	71.57	domain	all	1.000000	1659	1376	1440	391	6.91	0.590	putative membrane protein
K08991	149.67	full	all	1.000000	1019	1006	8010	833	7.48	0.590	crossover junction endonuclease MUS81 [EC:3.1.22.-]
K08992	31.70	domain	all	0.992347	2513	1838	766	176	21.56	0.590	lipopolysaccharide assembly protein A
K08993	41.40	full	all	0.999181	1001	612	306	152	4.55	0.590	putative membrane protein
K08994	76.17	full	all	0.996857	3593	3184	7545	483	14.94	0.590	ion channel-forming bestrophin family protein
K08995	39.33	full	all	0.998856	2435	2187	2297	274	18.44	0.590	putative membrane protein
K08996	48.90	full	all	1.000000	754	507	387	187	3.52	0.590	putative membrane protein
K08997	218.90	full	all	0.999891	4959	4600	6356	846	4.45	0.590	protein adenylyltransferase [EC:2.7.7.108]
K08998	22.53	domain	all	0.995365	7714	6125	1926	208	12.85	0.590	uncharacterized protein
K08999	30.20	full	all	0.998132	2993	2407	1727	248	9.93	0.590	uncharacterized protein
K09000	103.33	full	all	0.995699	495	464	1367	379	5.19	0.590	CRISPR-associated protein Cmr4
K09001	79.83	full	all	0.980717	4489	3967	2750	479	4.53	0.590	anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
K09002	84.67	domain	all	0.994709	440	383	1239	276	5.84	0.590	CRISPR-associated protein Csm3
K09003	287.67	full	all	1.000000	591	551	877	406	1.71	0.591	uncharacterized protein
K09004	41.53	full	all	0.996690	1456	1358	816	191	12.07	0.590	uncharacterized protein
K09005	24.63	domain	all	0.997806	3521	3192	2192	253	20.12	0.590	uncharacterized protein
K09006	188.07	full	all	1.000000	250	228	344	218	1.38	0.591	RNA-free ribonuclease P [EC:3.1.26.5]
K09007	188.47	full	all	0.997433	2006	1756	1075	358	4.03	0.590	GTP cyclohydrolase IB [EC:3.5.4.16]
K09008	56.40	full	all	0.993370	968	901	1715	253	7.39	0.590	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
K09009	74.93	full	all	0.973111	1503	1315	819	239	4.61	0.590	uncharacterized protein
K09010	407.20	full	all	1.000000	61	56	781	602	2.27	0.590	uncharacterized protein
K09011	622.33	full	all	0.985796	537	499	841	493	1.26	0.590	(R)-citramalate synthase [EC:2.3.3.21]
K09012	139.37	full	all	1.000000	211	193	494	219	1.57	0.590	DeoR family transcriptional regulator, suf operon transcriptional repressor
K09013	159.23	domain	all	0.998817	7452	5922	1594	312	2.63	0.590	Fe-S cluster assembly ATP-binding protein
K09014	366.87	full	trim	0.974609	6940	5530	3309	568	2.73	0.590	Fe-S cluster assembly protein SufB
K09015	278.77	full	all	0.939257	6486	5560	2798	563	12.53	0.590	Fe-S cluster assembly protein SufD
K09016	518.13	full	all	1.000000	886	697	763	435	0.74	0.589	putative pyrimidine permease RutG
K09017	116.63	domain	all	0.778707	3853	3134	1857	307	27.69	0.590	TetR/AcrR family transcriptional regulator
K09018	352.63	full	all	0.996805	615	475	561	358	1.51	0.590	pyrimidine oxygenase [EC:1.14.99.46]
K09019	135.27	domain	all	1.000000	1756	1496	600	203	1.73	0.590	3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]
K09020	219.43	full	all	0.731636	889	728	757	286	6.72	0.590	ureidoacrylate peracid hydrolase [EC:3.5.1.110]
K09021	137.53	full	all	0.975691	484	293	223	128	1.88	0.590	aminoacrylate peracid reductase
K09022	128.70	domain	all	0.835541	8734	7150	2419	305	16.03	0.590	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
K09023	204.97	full	all	0.988103	534	428	440	262	3.18	0.590	aminoacrylate hydrolase [EC:3.5.1.-]
K09024	214.87	full	all	0.859391	1007	779	597	196	2.37	0.590	flavin reductase [EC:1.5.1.-]
K09025	288.90	full	all	0.963435	221	212	1127	412	1.50	0.589	apolipoprotein A-V
K09026	1064.03	full	all	0.953210	592	582	4261	983	2.54	0.589	neuronal PAS domain-containing protein 2
K09027	80.33	full	all	0.997628	651	634	2503	362	7.85	0.590	X box-binding protein 1
K09028	466.17	full	all	0.974278	502	419	1137	409	2.09	0.591	transcription factor jun-B
K09029	366.57	full	all	0.980058	392	333	1193	449	1.33	0.589	protein FosB
K09030	391.60	domain	trim	0.914494	607	478	1362	465	2.56	0.590	fos-like antigen 2
K09031	356.33	domain	trim	0.814538	160	152	2129	430	2.57	0.590	fos-like antigen, invertebrate
K09032	161.53	domain	all	0.888871	528	402	799	239	4.37	0.590	activating transcription factor 3
K09033	188.43	full	all	0.989357	597	424	938	300	2.63	0.590	jun dimerization protein 2
K09034	95.73	full	all	0.971182	1128	908	1645	233	8.53	0.590	ATF-like basic leucine zipper transcriptional factor
K09035	451.40	full	all	0.919873	598	516	2083	416	2.43	0.590	transcription factor Maf
K09036	444.33	full	all	0.768751	604	468	1621	408	2.87	0.590	transcription factor MAFB
K09037	169.97	full	all	0.960005	1728	1125	1569	237	3.88	0.590	transcription factor MAFF/G/K
K09038	321.67	full	all	0.919487	209	183	846	333	2.19	0.590	neural retina-specific leucine zipper protein
K09039	406.20	full	trim	0.983002	206	178	708	413	1.25	0.590	nuclear factor erythroid 2
K09040	487.10	full	trim	0.957095	960	926	4008	861	5.96	0.590	nuclear factor erythroid 2-related factor 1/3
K09041	1069.30	domain	all	0.839572	58	58	3136	1111	1.70	0.590	nuclear factor erythroid 2, invertebrate
K09042	323.63	full	all	0.999544	1129	1099	4035	773	2.84	0.590	transcription regulator BACH
K09043	76.70	full	all	0.944062	442	436	4127	405	13.77	0.590	AP-1-like transcription factor
K09044	200.00	full	all	0.975921	357	340	1307	359	3.88	0.590	activating transcription factor 5
K09045	622.83	full	all	0.967036	579	518	2158	550	2.55	0.590	activating transcription factor 7
K09047	309.30	domain	all	0.980866	570	490	1807	556	1.81	0.589	cyclic AMP-responsive element-binding protein 5
